id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,first_name,second_name,web_name
478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Mason,Holgate,Holgate
481,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Axel,Tuanzebe,Tuanzebe
484,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Philip,Heise,Heise
485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Wesley,Hoedt,Hoedt
486,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Cédric,Soares,Cédric
493,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Adam,Webster,Webster
498,36,0,0,0,1,0,0,0,0,0,0,0,6,5.4,11.2,2.0,1.9,1,FALSE,Jetro,Willems,Willems
503,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Gary,Cahill,Cahill
506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Reece,James,James
511,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Djibril,Sidibé,Sidibé
515,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Kieran,Tierney,Tierney
518,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,João Pedro Cavaco,Cancelo,Cancelo
519,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Emil,Krafth,Krafth
529,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Fikayo,Tomori,Tomori
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Mesut,Özil,Özil
16,83,0,0,1,0,0,0,0,1,0,0,0,0,0.2,19.4,22.0,4.2,2,FALSE,Henrikh,Mkhitaryan,Mkhitaryan
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Alex,Iwobi,Iwobi
18,90,0,0,1,0,0,0,0,1,0,0,0,11,15.8,24.2,5.0,4.5,2,FALSE,Granit,Xhaka,Xhaka
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Lucas,Torreira,Torreira
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Mohamed,Elneny,Elneny
21,90,0,0,1,0,0,0,0,0,0,0,0,15,21.2,14.4,0.0,3.6,3,FALSE,Matteo,Guendouzi,Guendouzi
28,81,0,0,0,1,0,0,0,0,0,0,0,12,16.4,10.8,0.0,2.7,2,FALSE,Conor,Hourihane,Hourihane
